Country,Year,Divorce_Rate
Georgia,2000,11.3
Georgia,2001,11.39
Georgia,2002,11.65
Georgia,2003,11.5
Georgia,2004,12.25
Georgia,2005,12.15
Georgia,2006,12.35
Georgia,2007,12.67
Georgia,2008,12.63
Georgia,2009,12.74
Georgia,2010,12.87
Georgia,2011,12.59
Georgia,2012,12.55
Georgia,2013,12.34
Georgia,2014,12.57
Georgia,2015,12.5
Georgia,2016,12.77
Georgia,2017,12.65
Georgia,2018,12.08
Georgia,2019,12.08
Georgia,2020,12.96
Georgia,2021,15.34
Georgia,2022,12.21
Georgia,2023,11.84
Germany,1990,11.58
Germany,1991,11.37
Germany,1992,10.97
Germany,1993,11.05
Germany,1994,10.86
Germany,1995,10.83
Germany,1996,10.79
Germany,1997,10.5
Germany,1998,10.44
Germany,1999,10.4
Germany,2000,10.3
Germany,2001,10.15
Germany,2002,10.3
Germany,2003,10.45
Germany,2004,10.03
Germany,2005,10.17
Germany,2006,10.11
Germany,2007,10.24
Germany,2008,10.48
Germany,2009,10.64
Germany,2010,10.66
Germany,2011,10.58
Germany,2012,10.78
Germany,2013,11.1
Germany,2014,10.77
Germany,2015,11.35
Germany,2016,11.08
Germany,2017,11.29
Germany,2018,11.53
Germany,2019,11.33
Germany,2020,11.85
Germany,2021,11.43
Germany,2022,12.88
Germany,2023,12.23
Greece,1990,8.92
Greece,1991,9.07
Greece,1992,9.34
Greece,1993,9.19
Greece,1994,9.22
Greece,1995,9.37
Greece,1996,9.41
Greece,1997,9.26
Greece,1998,9.54
Greece,1999,9.57
Greece,2000,9.74
Greece,2001,9.46
Greece,2002,9.53
Greece,2003,9.7
Greece,2004,9.65
Greece,2005,9.57
Greece,2006,9.71
Greece,2007,10.05
Greece,2008,9.85
Greece,2009,9.84
Greece,2010,9.93
Greece,2011,10.17
Greece,2012,10.72
Greece,2013,10.36
Greece,2014,10.64
Greece,2015,11.36
Greece,2016,11.14
Greece,2017,11.76
Greece,2018,11.4
Greece,2019,11.84
Greece,2020,11.49
Greece,2021,12.64
Greece,2022,14.07
Greece,2023,12.4
Hungary,1990,14.07
Hungary,1991,13.99
Hungary,1992,14.36
Hungary,1993,14.52
Hungary,1994,14.2
Hungary,1995,14.06
Hungary,1996,13.86
Hungary,1997,13.51
Hungary,1998,13.68
Hungary,1999,13.93
Hungary,2000,13.23
Hungary,2001,12.92
Hungary,2002,13.03
Hungary,2003,13.37
Hungary,2004,13.07
Hungary,2005,13.41
Hungary,2006,13.03
Hungary,2007,13.17
Hungary,2008,12.92
Hungary,2009,12.97
Hungary,2010,12.99
Hungary,2011,12.82
Hungary,2012,12.99
Hungary,2013,12.75
Hungary,2014,12.77
Hungary,2015,13.33
Hungary,2016,12.9
Hungary,2017,13.41
Hungary,2018,13.35
Hungary,2019,13.21
Hungary,2020,14.41
Hungary,2021,16.38
Hungary,2022,13.82
Hungary,2023,13.22
Iceland,1990,6.75
Iceland,1991,6.99
Iceland,1992,6.64
Iceland,1993,6.68
Iceland,1994,6.51
Iceland,1995,7.34
Iceland,1996,7.04
Iceland,1997,6.86
Iceland,1998,6.71
Iceland,1999,6.91
Iceland,2000,6.53
Iceland,2001,6.09
Iceland,2002,6.38
Iceland,2003,6.37
Iceland,2004,6.3
Iceland,2005,6.24
Iceland,2006,6.29
Iceland,2007,6.27
Iceland,2008,6.32
Iceland,2009,6.34
Iceland,2010,6.4
Iceland,2011,6.28
Iceland,2012,6.18
Iceland,2013,6.69
Iceland,2014,6.31
Iceland,2015,6.64
Iceland,2016,6.94
Iceland,2017,6.53
Iceland,2018,6.42
Iceland,2019,6.32
Iceland,2020,6.31
Iceland,2021,6.29
Iceland,2022,7.43
Iceland,2023,6.74
Ireland,1990,8.82
Ireland,1991,8.76
Ireland,1992,8.6
Ireland,1993,8.91
Ireland,1994,8.54
Ireland,1995,8.85
Ireland,1996,8.64
Ireland,1997,8.51
Ireland,1998,8.43
Ireland,1999,8.63
Ireland,2000,8.2
Ireland,2001,7.77
Ireland,2002,7.53
Ireland,2003,7.25
Ireland,2004,7
Ireland,2005,6.77
Ireland,2006,6.64
Ireland,2007,6.34
Ireland,2008,6.24
Ireland,2009,6.17
Ireland,2010,6.05
Ireland,2011,6.11
Ireland,2012,6.23
Ireland,2013,6.28
Ireland,2014,6.17
Ireland,2015,6.3
Ireland,2016,6.34
Ireland,2017,6.2
Ireland,2018,6.28
Ireland,2019,6.22
Ireland,2020,6.45
Ireland,2021,7.15
Ireland,2022,6.88
Ireland,2023,6.84
Israel,1990,5.47
Israel,1991,5.8
Israel,1992,6.07
Israel,1993,5.85
Israel,1994,5.85
Israel,1995,5.94
Israel,1996,5.76
Israel,1997,5.8
Israel,1998,5.86
Israel,1999,5.75
Israel,2000,5.62
Israel,2001,5.52
Israel,2002,5.58
Israel,2003,5.52
Israel,2004,5.36
Israel,2005,5.42
Israel,2006,5.28
Israel,2007,5.31
Israel,2008,5.19
Israel,2009,5.01
Israel,2010,5.03
Israel,2011,5.16
Israel,2012,5.25
Israel,2013,5.13
Israel,2014,5.19
Israel,2015,5.32
Israel,2016,5.18
Israel,2017,5.2
Israel,2018,5.13
Israel,2019,5.21
Israel,2020,5.41
Israel,2021,5.53
Israel,2022,5.46
Israel,2023,5.54
Italy,1990,9.56
Italy,1991,9.72
Italy,1992,9.6
Italy,1993,9.69
Italy,1994,9.71
Italy,1995,10.05
Italy,1996,9.67
Italy,1997,9.78
Italy,1998,10.01
Italy,1999,9.89
Italy,2000,9.75
Italy,2001,9.68
Italy,2002,9.73
Italy,2003,10.08
Italy,2004,9.29
Italy,2005,9.63
Italy,2006,9.43
Italy,2007,9.61
Italy,2008,9.71
Italy,2009,9.79
Italy,2010,9.69
Italy,2011,9.82
Italy,2012,10.11
Italy,2013,9.87
Italy,2014,9.88
Italy,2015,10.67
Italy,2016,10.23
Italy,2017,10.87
Italy,2018,10.55
Italy,2019,10.71
Italy,2020,12.53
Italy,2021,11.29
Italy,2022,12.44
Italy,2023,11.15
Japan,1990,6.73
Japan,1991,6.74
Japan,1992,6.99
Japan,1993,7.18
Japan,1994,7.17
Japan,1995,7.55
Japan,1996,7.32
Japan,1997,7.45
Japan,1998,7.63
Japan,1999,8
Japan,2000,7.83
Japan,2001,7.87
Japan,2002,7.96
Japan,2003,8.22
Japan,2004,8.32
Japan,2005,8.78
Japan,2006,8.81
Japan,2007,8.98
Japan,2008,9.23
Japan,2009,9.22
Japan,2010,9.64
Japan,2011,10.09
Japan,2012,10.14
Japan,2013,10.24
Japan,2014,10.3
Japan,2015,10.44
Japan,2016,10.61
Japan,2017,10.89
Japan,2018,11.11
Japan,2019,11.3
Japan,2020,11.27
Japan,2021,11.82
Japan,2022,12.92
Japan,2023,12.26
Kosovo,1990,7.28
Kosovo,1991,7.16
Kosovo,1992,6.5
Kosovo,1993,6.18
Kosovo,1994,5.93
Kosovo,1995,5.94
Kosovo,1996,5.8
Kosovo,1997,5.63
Kosovo,1998,6.66
Kosovo,1999,11.52
Kosovo,2000,5.62
Kosovo,2001,5.59
Kosovo,2002,5.62
Kosovo,2003,5.6
Kosovo,2004,5.57
Kosovo,2005,5.6
Kosovo,2006,5.64
Kosovo,2007,5.42
Kosovo,2008,5.4
Kosovo,2009,5.45
Kosovo,2010,5.59
Kosovo,2011,5.29
Kosovo,2012,5.22
Kosovo,2013,5.1
Kosovo,2014,5.32
Kosovo,2015,5.59
Kosovo,2016,5.4
Kosovo,2017,5.39
Kosovo,2018,5.57
Kosovo,2019,5.7
Kosovo,2020,8.55
Kosovo,2021,7.26
Kosovo,2022,5.89
Kosovo,2023,5.87
Kyrgyz Republic,1990,8.62
