"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDEX_TYPE","COICOP_1999","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"IMF.STA:CPI(3.0.1)","LBN.CPI._T.IX.A","OBS_VALUE","Lebanon","Consumer price index (CPI)","All Items","88.59528288156548","94.42615881209709","98.97846240099312","100.8141211350495","97.03445330320555","96.2743245743083","100.4346772009994","106.5380815659287","109.7399658763178","202.8700560034842","516.823834674948","1401.654620175063","4504.1",""
"IMF.STA:CPI(3.0.1)","OMN.CPI._T.IX.A","OBS_VALUE","Oman","Consumer price index (CPI)","All Items","91.75193495531282","94.4565388116518","95.45168397859615","96.41957821844508","96.48253068932952","97.55272269436573","99.1029272898961","99.98426188227889","100.475","100.0666666666667","101.75","104.3","105.2916666666667",""
"IMF.STA:CPI(3.0.1)","QAT.CPI._T.IX.A","OBS_VALUE","Qatar","Consumer price index (CPI)","All Items","86.83943161524722","88.85006712235975","91.71279635445532","94.78491902210727","96.5043906644498","99.08741917605765","99.4786945008929","99.73317630395958","99.06831393558716","96.55166666666665","98.77666666666669","103.7108333333333","106.8508333333334","108.205"
"IMF.STA:CPI(3.0.1)","SAU.CPI._T.IX.A","OBS_VALUE","Saudi Arabia","Consumer price index (CPI)","All Items","87.50935250000002","90.01760583333335","93.1975","95.28166666666668","96.43083333333335","98.42583333333332","97.60083333333333","100.0","97.90666666666668","101.28","104.3825","106.965","109.4541666666666","111.3016666666667"
"IMF.STA:CPI(3.0.1)","SYR.CPI._T.IX.A","OBS_VALUE","Syrian Arab Republic","Consumer price index (CPI)","All Items","152.6570552257741","208.6856984866102","292.2264188772368","324.1583333333332","448.8333333333332","662.95","782.78","790.1458333333335","896.1641666666668","","","","",""
"IMF.STA:CPI(3.0.1)","ARE.CPI._T.IX.A","OBS_VALUE","United Arab Emirates","Consumer price index (CPI)","All Items","89.39454714735675","89.98657943165006","90.9774381826888","93.11201329945278","96.90164066051248","98.46901315628251","100.40572689363","103.4868109587132","101.4883966618076","99.37804371489035","99.55685993193225","104.8246384330088","106.5298296024562",""
"IMF.STA:CPI(3.0.1)","YEM.CPI._T.IX.A","OBS_VALUE","Yemen, Republic of","Consumer price index (CPI)","All Items","139.26306288965","153.029755806066","169.814736043971","183.577754829868","","","","","","","","","",""
"IMF.STA:CPI(3.0.1)","EGY.CPI._T.IX.A","OBS_VALUE","Egypt, Arab Republic of","Consumer price index (CPI)","All Items","39.2254179376609","42.01502353051978","45.99372853723832","50.62539610304932","55.87549791728328","63.59391917015175","82.35832786208778","94.2191342667378","102.8428228046656","108.0311741971116","113.6639729926915","129.4583333333333","173.325",""
"IMF.STA:CPI(3.0.1)","WBG.CPI._T.IX.A","OBS_VALUE","West Bank and Gaza","Consumer price index (CPI)","All Items","92.8781534012145","95.4593187224229","97.1054185808795","98.78824101654244","100.2025047941954","99.98295448790871","100.1954891883333","99.99999999999935","101.5801833363939","100.8332317415533","102.0810238545906","105.9001035353094","112.1176063955933",""
"IMF.STA:CPI(3.0.1)","AFG.CPI._T.IX.A","OBS_VALUE","Afghanistan, Islamic Republic of","Consumer price index (CPI)","All Items","85.2273892232992","90.7170667350174","97.41722225318532","101.9704993590604","101.2957512194971","105.7364475081064","110.9978418597888","111.6928539021896","114.2644394718408","120.6654052975532","126.8594059948654","144.2544976134007","137.5542964011015","128.4740819388548"
